model,val_accuracy,val_f1_macro,val_mcc,test_accuracy,test_f1_macro,test_mcc,best_params,test_roc_auc
gbr,0.99995,0.9999462403857549,0.9998924865513695,1.0,1.0,1.0,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 300}",1.0
rf,0.99065,0.9899440901900678,0.9798888726508106,0.99065,0.9899435169563153,0.979888000912348,"{""model__max_depth"": null, ""model__n_estimators"": 400}",0.9996923532262335
logreg_l1,0.96815,0.9657590186115457,0.9315180873277714,0.97245,0.9703767676504647,0.9407535856794867,"{""model__C"": 0.1, ""model__class_weight"": null}",0.9976611147035848
logreg_l2,0.96835,0.9659778972587802,0.9319560673150896,0.97235,0.9702743128605726,0.9405486760770637,"{""model__C"": 10.0, ""model__class_weight"": null}",0.9976505028574357
