model,val_accuracy,val_f1_macro,val_mcc,test_accuracy,test_f1_macro,test_mcc,best_params,test_roc_auc_ovr_macro
gbr,0.9998,0.9998010732750776,0.9996992815951523,0.9998,0.9997972987595745,0.9996992790041209,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 300}",0.0
rf,0.9997,0.9997034889490132,0.9995489400310985,0.9996,0.999602103643864,0.9993985996114042,"{""model__max_depth"": null, ""model__n_estimators"": 400}",0.0
logreg_l2,0.8816,0.8811511288322649,0.822139090129129,0.88005,0.8795488029015534,0.8197973410305727,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",0.0
